,distance,width,movement_time
2960,40,14,561
2519,60,18,423
5346,75,6,591
874,210,18,1016
3190,210,20,727
506,40,18,712
3808,160,10,912
512,40,18,544
5753,75,14,336
5672,210,6,775
402,40,20,847
1514,160,8,703
83,120,6,1007
1216,120,8,874
4637,60,10,689
762,40,8,718
1495,210,8,854
1439,60,10,527
3853,210,14,590
13,75,14,910
3201,60,10,704
2589,40,6,568
1567,120,18,511
4908,160,20,592
2264,210,8,848
5137,160,18,490
3507,60,10,1022
511,40,18,729
4891,40,14,385
5212,40,6,442
5142,160,18,496
4300,60,18,561
5747,40,8,368
282,40,10,833
3983,210,14,703
4112,40,20,391
1880,160,14,567
2173,210,6,1104
555,160,6,1185
5206,160,14,744
3705,120,20,928
6146,60,18,593
2663,40,18,460
1380,160,10,718
2986,120,20,594
2548,120,14,631
5175,40,10,584
4859,60,6,736
109,160,20,824
1400,160,6,920
4198,120,18,800
1550,210,18,943
612,160,18,1041
585,120,6,863
522,210,20,722
4657,210,8,953
2907,60,10,655
365,210,10,790
1266,210,14,814
4505,160,20,592
2582,120,8,840
2174,40,18,328
116,160,20,751
1915,75,20,367
4485,120,8,751
3159,40,18,398
4571,160,18,721
1674,210,20,638
1706,40,14,616
5305,210,14,624
5232,75,20,414
4822,75,20,573
4270,40,18,530
1513,160,8,1033
812,160,14,1085
2258,210,8,760
1814,120,8,536
1658,75,14,477
3631,120,18,924
1449,120,20,602
3860,210,10,1008
5625,60,14,398
4209,75,18,488
2627,75,8,697
3178,40,10,554
5886,160,18,823
2435,210,10,831
5132,210,10,727
2152,60,20,417
5954,210,10,931
4543,120,18,690
388,40,8,528
3840,160,18,612
1621,160,20,651
4365,75,6,767
1144,160,14,1113
4566,160,18,890
2634,75,8,744
5024,75,8,632
5108,210,6,961
464,120,10,847
4765,120,20,559
3767,75,10,512
4750,75,8,706
2060,60,6,729
3884,210,6,758
2386,160,8,920
3180,40,10,698
5596,40,14,392
6167,160,10,848
4189,60,10,599
5665,210,6,698
5050,120,10,610
1257,75,8,648
4163,160,8,808
1616,160,20,647
3305,40,20,353
5887,160,18,943
4493,160,8,947
3589,60,8,840
1927,75,20,431
5618,60,14,408
5724,120,6,576
3639,75,8,1002
367,120,14,640
2944,210,10,709
1253,75,8,608
6018,120,18,577
6129,160,14,1046
5315,120,14,488
1196,60,6,639
3000,120,6,1201
4625,40,10,561
3108,120,14,963
5054,160,6,832
3720,120,8,884
4049,210,8,896
471,120,10,1007
3706,120,20,866
5797,210,8,730
2644,160,20,727
3423,160,10,1095
3340,75,10,1258
670,160,20,766
4974,210,20,711
5564,75,6,522
1800,120,14,480
3679,40,20,708
730,210,8,1183
4,210,8,865
6051,210,6,1022
2790,210,14,1136
466,120,10,830
3536,210,8,1538
2771,120,10,1378
1197,60,6,666
395,210,10,1065
5506,210,20,634
1173,75,14,594
2969,60,8,709
5474,60,6,554
4286,60,20,586
3064,75,14,704
4723,40,10,542
4819,210,14,712
4558,75,10,854
4756,75,8,593
6109,40,10,558
3081,60,18,720
581,75,6,792
2071,120,14,598
3022,75,10,836
2872,120,14,849
369,120,14,680
4086,75,8,505
2460,60,14,530
3566,40,8,774
157,60,6,744
5408,120,18,489
542,75,20,670
1940,40,20,417
4560,75,10,646
64,120,8,1187
2726,160,14,782
2292,40,6,581
3891,60,20,448
4053,75,10,648
4581,210,8,1024
3449,40,14,1088
4118,120,14,571
1364,210,6,1137
4847,160,8,866
4903,160,20,494
3381,160,20,668
5744,40,8,368
5781,60,8,545
2278,210,18,689
1065,75,18,720
5166,60,18,387
1230,75,6,577
319,60,8,816
193,75,10,553
1833,40,20,263
4260,75,18,504
2148,60,20,393
1588,120,20,640
5695,40,20,257
4395,40,8,434
5644,60,20,355
4076,210,20,592
4906,160,20,731
2884,160,8,853
4820,75,20,592
2092,75,6,606
1702,160,18,562
2024,160,14,904
568,120,8,1055
3578,40,6,727
2613,60,20,535
3010,210,6,1008
1145,160,14,765
2917,160,18,687
3736,60,14,542
4650,210,8,1026
4102,60,18,531
4855,60,6,503
5200,160,14,647
961,60,10,635
5146,210,8,930
5487,75,8,450
3360,60,20,512
4301,60,18,528
2198,160,6,953
4935,60,20,432
3596,60,8,768
5577,210,10,775
823,75,6,1704
1140,40,20,463
536,75,20,775
2201,60,10,402
6164,160,10,965
143,75,8,827
1060,75,18,582
5707,210,18,521
2881,120,8,782
5401,120,18,648
1134,40,20,433
3986,210,14,751
189,160,8,902
56,120,8,865
2947,40,10,784
5052,160,6,824
985,210,8,793
6165,160,10,939
2732,210,8,1186
583,120,6,862
4234,40,18,353
1563,120,18,490
4240,40,6,513
1836,160,6,967
1267,210,14,818
4601,75,14,574
1573,75,18,544
4074,60,14,479
3993,40,8,614
1109,210,10,894
4298,60,18,723
3532,210,8,1030
4771,60,14,450
2753,160,14,1009
223,160,14,888
2786,210,14,1073
2657,40,18,405
3127,120,10,1058
4900,160,20,624
4092,75,8,696
5890,160,18,657
232,60,20,441
339,120,20,705
4244,40,6,767
818,75,6,986
186,160,8,824
5067,60,14,464
1714,40,14,419
5221,40,6,482
1712,40,14,480
2696,75,10,581
1250,75,8,652
4426,210,20,793
493,160,8,912
4353,210,14,892
1715,40,14,440
4976,210,20,626
2423,75,14,681
4164,160,8,761
1489,210,8,1231
5624,60,14,409
1890,210,10,705
5480,60,6,561
5582,210,10,682
3640,75,8,835
5377,40,20,422
2927,40,18,468
804,160,14,1102
4897,40,14,400
5110,210,6,1158
3520,210,20,990
2010,40,8,417
4596,75,14,535
263,210,14,1153
5542,40,10,384
3395,120,20,418
1470,120,6,849
597,160,10,1057
4243,40,6,632
5805,120,14,992
4109,40,20,416
1304,210,20,893
504,40,18,490
5072,60,14,506
4653,210,8,833
3999,160,14,721
1209,60,18,448
679,40,8,814
150,60,6,663
4951,160,14,704
4306,60,18,520
4094,75,8,760
5218,40,6,526
6111,210,18,1208
4271,40,18,541
181,40,6,601
6133,210,20,711
3626,60,6,809
4310,60,14,487
5003,120,6,929
3876,160,20,639
93,60,18,471
1319,60,8,535
73,60,14,536
4088,75,8,713
793,60,14,600
3295,160,8,859
2908,60,10,739
262,210,14,793
5715,120,6,601
4640,120,18,782
169,40,14,435
4781,75,14,618
217,160,14,895
5923,40,8,737
4388,210,10,831
1905,75,10,482
1313,210,20,767
633,210,6,1274
4454,160,6,1048
1261,210,14,1105
4348,120,6,690
1953,60,18,839
2903,60,20,804
673,40,8,1052
4020,120,20,512
1001,210,6,1001
5760,75,14,574
6060,75,20,497
2592,40,6,553
4669,160,6,830
4208,75,18,392
2057,60,6,1082
570,120,8,966
2867,120,14,784
4460,75,20,403
4853,60,6,621
316,60,8,726
2882,120,8,884
3810,160,10,648
3357,60,20,417
3824,120,10,797
4333,120,10,728
4624,40,10,495
5848,40,6,599
3805,40,14,551
1533,60,20,481
4913,75,10,600
3113,120,14,705
698,60,18,657
820,75,6,1137
540,75,20,710
6076,75,18,512
2802,40,6,801
5558,160,8,805
4482,120,8,784
3247,40,6,611
1502,75,20,431
5288,75,14,487
4170,120,6,641
4469,75,20,359
1072,160,18,763
5416,160,10,945
5128,210,10,627
5844,40,6,545
5504,210,20,624
2054,60,6,1376
5944,120,10,752
6025,60,6,898
2313,120,8,910
3037,160,20,768
3821,120,10,826
110,160,20,727
2821,40,8,881
2425,75,14,586
243,160,6,1048
5041,120,10,729
2355,75,8,888
196,75,10,688
559,160,6,898
34,210,20,978
3319,210,14,730
4902,160,20,592
3751,160,14,717
5015,75,8,631
4782,75,14,653
1042,75,8,857
5032,160,20,719
1624,160,20,534
1382,160,10,768
214,210,6,1089
4659,160,6,1024
5924,40,8,825
744,160,14,1045
2909,60,10,669
5513,120,20,488
5464,120,14,477
5198,40,8,415
2081,120,20,722
3464,120,6,1199
5585,160,14,520
4555,75,10,522
4268,40,18,581
1835,160,6,797
6131,210,20,801
2448,75,18,830
3017,75,10,829
328,75,18,520
3946,160,10,639
75,60,14,561
4615,60,6,534
3574,40,6,707
5197,40,8,512
3233,160,14,857
5990,160,8,1111
5921,40,8,602
2436,210,10,973
1236,75,6,675
5978,40,18,456
5215,40,6,456
3378,160,20,576
853,160,8,1088
5842,40,6,560
840,60,20,872
2125,120,6,760
751,160,14,919
6032,120,6,1233
3540,120,6,1082
3186,210,20,785
4950,160,14,820
1023,160,20,847
338,120,20,688
974,60,6,647
3468,120,6,887
5539,40,10,415
2670,210,6,926
1719,40,8,488
1229,75,6,640
136,120,18,630
2852,160,10,944
837,60,20,543
4899,160,20,535
6066,75,20,536
3723,120,8,1024
1536,60,20,366
38,210,20,927
4278,60,20,750
3418,120,18,817
866,210,18,1009
3484,210,10,826
490,75,18,728
3862,210,10,968
424,60,10,776
699,60,18,640
1184,40,18,416
3872,160,20,638
272,210,18,702
119,160,18,792
4830,75,6,825
356,210,10,800
1600,210,8,737
5418,160,10,704
720,75,10,1012
3857,210,14,935
4796,40,8,601
3056,75,20,529
16,75,14,742
5997,160,8,866
3192,210,20,656
5847,40,6,1320
458,60,14,712
5931,60,8,728
2162,40,14,462
1575,75,18,480
187,160,8,928
3660,210,6,1648
3963,40,10,453
270,210,18,903
1105,210,10,769
2374,210,20,834
87,60,18,480
2942,210,10,979
2974,75,6,867
475,120,20,689
3047,75,20,564
3996,40,8,609
5105,60,8,690
55,120,8,822
366,210,10,817
5833,75,14,824
5448,160,18,458
131,120,18,585
2020,40,8,457
78,120,6,1289
6036,120,6,922
2304,60,8,559
3521,210,20,983
1027,160,20,768
1522,120,10,667
5481,60,6,415
1955,60,18,421
1622,160,20,717
2114,210,10,1082
4519,210,6,798
2270,210,18,711
212,210,6,803
3756,160,14,1071
826,120,20,775
3523,210,20,843
1978,160,10,880
3962,40,10,448
2767,75,8,770
3027,40,20,435
375,120,14,785
4550,160,10,702
1817,120,8,615
5673,210,6,793
5595,160,14,600
1735,60,18,380
563,120,8,857
2911,60,10,687
4452,160,6,1220
2618,40,20,351
891,120,6,886
4769,120,20,569
4370,75,6,1017
1125,75,14,526
1981,160,10,1121
4442,60,10,499
5156,60,18,350
4423,40,20,384
3878,160,20,574
5209,160,14,822
137,120,18,610
1039,75,8,743
5493,75,20,422
5176,40,10,408
1436,60,10,553
841,60,20,694
1469,120,6,831
1643,40,6,496
4227,40,18,336
2708,60,6,803
3952,160,10,653
3274,60,6,642
3324,210,8,1112
5250,60,6,534
2378,210,20,799
347,120,10,833
1198,60,6,598
2434,210,10,894
2003,160,20,735
2015,40,8,553
4340,120,6,1024
2637,160,20,742
3061,75,14,644
325,75,18,570
2858,160,10,1108
1641,40,6,474
5064,160,6,837
5113,210,6,969
276,210,18,824
3755,160,14,777
587,120,6,1122
4200,120,18,511
2461,210,18,827
3057,75,14,653
3595,60,8,969
2520,60,18,474
5082,60,10,415
682,40,8,814
2394,40,8,528
3058,75,14,701
2835,120,18,606
1254,75,8,672
5390,40,18,349
360,210,10,1160
482,120,20,787
2284,40,6,561
3727,120,8,793
3791,75,18,483
59,120,8,931
1971,75,14,744
3629,120,18,930
2272,210,18,809
852,160,8,1176
5471,120,14,497
413,75,8,896
4490,120,8,1034
5828,210,8,1298
3097,75,18,678
3537,210,8,1072
4054,75,10,640
4501,160,8,655
5988,160,8,1447
4942,40,20,430
4589,40,6,479
1297,120,18,730
5292,210,20,655
739,60,20,543
5850,40,6,607
4367,75,6,1145
3980,210,14,895
2998,120,6,818
2028,160,14,746
955,60,8,646
2788,210,14,882
4919,210,6,1401
1831,40,20,233
634,210,6,1294
6085,60,10,632
3299,160,8,811
2392,40,8,546
2933,40,18,466
4887,120,6,705
2396,40,8,573
3255,210,6,986
1059,75,18,641
3601,75,6,1310
5566,75,6,532
3160,40,18,589
2025,160,14,1114
1521,120,10,643
5530,60,18,409
4962,210,10,1023
2281,40,6,582
1403,160,6,889
5547,120,8,762
702,60,18,850
3187,210,20,686
4869,160,18,560
1407,160,6,936
3737,60,14,565
3310,40,20,359
5116,210,6,1016
5961,160,20,1122
2532,120,18,648
5211,40,6,461
2675,210,6,1053
2910,60,10,869
4828,75,20,520
406,40,20,646
6061,75,20,464
5057,160,6,889
2898,60,20,656
3784,210,18,961
786,60,14,606
5028,75,8,657
5643,60,20,368
980,210,8,1145
719,75,10,785
2951,40,10,674
1478,75,18,499
3239,40,6,877
4834,75,6,999
3219,160,6,708
4602,75,14,610
2712,60,8,533
4480,40,14,446
5420,75,10,582
3799,40,14,726
76,120,6,1086
4646,120,18,642
5400,120,18,457
2411,120,20,758
2704,60,6,678
2811,210,18,895
5259,60,20,360
1937,75,20,534
2757,160,14,1025
5825,210,8,1103
4425,40,20,422
5365,210,18,613
2737,210,8,1217
785,60,14,730
4861,60,6,658
1811,210,6,735
4239,40,6,519
4616,60,6,778
329,75,18,520
68,60,14,647
5656,75,18,369
3899,60,20,569
453,60,14,725
1453,120,20,820
4236,40,18,366
1165,75,14,698
4462,75,20,392
3278,120,8,588
631,60,6,824
4707,120,8,728
478,120,20,998
2545,120,14,825
1424,210,10,911
3264,210,6,1199
3452,40,14,371
1240,160,20,673
4649,210,8,1014
4322,120,14,656
2707,60,6,845
4002,160,14,609
1975,160,10,838
1638,40,6,689
1586,120,20,646
4470,75,20,400
971,60,6,918
3277,120,8,668
4991,40,6,488
3803,40,14,425
900,40,14,522
3898,60,20,745
4099,60,18,467
3224,160,14,1008
646,40,14,830
6123,160,14,920
1347,160,18,758
1526,120,10,726
3677,75,14,725
4798,40,8,664
1722,40,8,455
2571,210,8,1000
1606,60,10,662
2683,75,20,421
1882,160,14,529
125,160,18,679
161,40,14,432
1642,40,6,440
1728,60,18,418
1387,40,14,537
4400,40,8,560
4575,210,8,1200
4770,60,14,701
6013,120,18,903
1179,40,18,477
1357,60,14,577
41,210,20,808
2077,120,14,1192
5311,210,14,786
4486,120,8,824
1481,75,18,575
3288,160,8,871
4101,60,18,415
2597,75,6,878
3580,60,20,519
594,160,10,1032
3957,40,10,705
4759,75,8,607
1455,120,20,571
5185,75,10,634
3985,210,14,809
258,40,20,343
643,40,14,719
2929,40,18,445
6015,120,18,658
6126,160,14,1352
934,75,20,616
4357,210,14,951
2164,210,6,1241
5491,75,8,569
5637,120,18,506
3859,210,10,865
3268,60,6,675
2333,120,18,557
5310,210,14,726
1463,120,14,703
421,75,8,872
3391,120,20,505
4647,120,18,677
311,40,18,414
1670,210,20,584
3018,75,10,804
3092,75,18,767
3973,120,10,676
3754,160,14,823
2187,40,18,297
2516,60,18,474
3450,40,14,913
1888,210,10,879
1474,120,6,663
2623,40,20,423
4738,120,10,727
1309,210,20,837
1487,210,8,1104
2764,75,8,850
952,60,8,632
5545,120,8,665
2521,60,18,503
949,60,8,793
986,210,8,1167
4474,40,14,328
240,160,6,786
1795,120,14,605
1461,120,14,605
5286,75,14,432
5599,40,14,352
2484,120,10,791
4956,160,14,661
1556,120,10,750
681,40,8,1297
718,75,10,987
2297,60,8,753
5737,40,18,247
5277,120,8,614
862,160,10,969
3981,210,14,680
3405,160,18,577
5345,75,6,592
1908,75,20,278
5371,75,18,386
195,75,10,696
5423,75,10,475
1096,120,14,606
3555,210,10,1172
1609,60,10,528
5033,160,20,617
444,60,8,740
2017,40,8,486
5256,60,6,741
1303,120,18,659
3103,75,18,410
684,120,18,733
3568,40,8,590
4036,60,6,600
2205,60,10,519
5462,120,14,546
4651,210,8,967
2463,210,18,832
1492,210,8,885
1280,75,10,639
5762,75,14,408
4779,60,14,527
4472,40,14,350
660,210,14,847
3905,60,8,545
618,210,18,989
6089,60,10,570
6044,75,8,673
4356,210,14,872
4403,40,8,504
4428,210,20,748
2813,210,18,801
5269,120,8,609
4833,75,6,607
2897,60,20,657
4171,120,6,806
292,60,10,583
3657,40,18,602
5800,120,14,814
2714,60,8,821
2889,160,8,816
940,75,10,673
1338,40,10,481
4635,60,10,712
815,75,6,1190
4323,120,14,736
3474,120,6,1153
5752,75,14,392
2562,160,18,805
1433,210,10,856
2119,120,6,1032
1602,210,8,1016
3486,60,8,697
5712,210,18,504
19,75,14,728
3564,40,8,837
21,75,14,634
5190,40,8,472
5227,75,20,567
1700,160,18,720
664,160,20,729
625,60,6,1103
1976,160,10,1018
3365,60,14,511
285,40,10,704
95,60,18,375
5849,40,6,874
459,60,14,728
3308,40,20,410
3889,210,6,1057
5780,60,8,422
3377,160,20,745
2953,40,10,626
5910,210,14,744
2192,160,6,1104
561,160,6,1120
2795,60,14,503
1926,210,20,735
4073,60,14,473
2171,210,6,1177
4537,120,18,696
2600,75,6,667
2800,60,14,543
5247,60,6,778
2314,120,8,788
2225,75,10,560
3667,210,6,1007
1855,60,8,593
3849,210,14,810
2959,40,14,527
4366,75,6,1112
706,40,10,1063
4536,120,18,701
171,40,6,600
1961,75,14,736
827,120,20,776
5873,75,10,681
1274,75,10,583
5180,75,10,409
668,160,20,1072
5830,75,14,760
4730,120,10,774
3965,120,10,944
1245,160,20,701
5025,75,8,593
2622,40,20,445
5714,210,18,520
4188,60,10,721
1458,120,14,592
3426,160,10,1162
791,60,14,577
4785,75,14,688
1733,60,18,366
455,60,14,751
5084,60,10,471
1183,40,18,473
2329,120,18,511
2798,60,14,686
3235,40,6,937
5171,40,10,615
4700,120,8,880
2859,160,10,880
5187,40,8,455
3223,160,6,1352
569,120,8,944
3937,75,6,504
943,75,10,695
4037,60,6,590
3850,210,14,680
2215,60,10,394
3552,210,10,1153
1159,40,6,695
3969,120,10,648
3739,160,20,951
2262,210,8,696
4857,60,6,598
1872,120,6,886
2980,75,6,688
1957,60,18,368
5226,75,20,394
5284,75,14,389
2039,160,18,831
5664,210,6,886
2563,210,8,1294
4390,210,10,759
3207,60,18,448
1901,75,10,480
4231,40,18,296
1806,210,6,826
1812,210,6,872
2725,160,14,810
1460,120,14,608
4429,210,20,690
5207,160,14,586
1026,160,20,729
5955,210,10,1023
1590,120,20,535
4884,120,6,735
2107,210,10,1784
4663,160,6,961
545,120,14,689
1095,120,14,729
4671,75,18,557
935,75,20,551
794,40,18,786
5720,120,6,704
4524,75,8,734
2353,75,8,749
2824,40,8,576
3105,75,18,335
1620,160,20,654
3697,60,18,575
2247,75,18,502
3517,160,8,1112
3934,75,6,561
1440,60,10,544
4087,75,8,542
2711,60,8,814
624,60,6,1215
173,40,6,535
4015,75,14,472
1041,75,8,677
4925,210,6,1031
944,75,10,696
5576,210,10,729
692,120,18,753
5570,75,6,718
3901,60,20,518
4199,120,18,479
1138,40,20,470
2703,60,6,712
2954,40,10,640
430,60,10,1049
2405,160,10,823
2275,210,18,656
2501,60,10,675
1652,210,14,600
3617,40,10,563
461,60,14,738
2195,160,6,847
1393,40,14,512
529,75,14,800
2900,60,20,720
4281,60,20,761
3722,120,8,809
5877,75,10,715
5393,40,18,329
1181,40,18,528
3718,120,8,986
2823,40,8,544
5561,160,8,569
2808,40,6,576
4518,210,6,901
969,60,6,665
550,120,14,897
3726,120,8,931
1020,160,6,1024
665,160,20,767
1928,75,20,425
1599,210,8,991
799,40,18,610
1565,120,18,608
1007,210,6,978
2518,60,18,561
2729,160,14,821
4591,40,6,437
342,120,20,794
106,75,6,1008
6067,75,20,566
5068,60,14,438
5684,160,20,712
2230,40,10,395
3372,60,14,361
2896,60,20,529
1870,120,6,576
3492,60,8,1033
2096,75,6,544
3141,40,8,837
3182,210,20,963
322,60,8,719
806,160,14,936
3649,40,18,591
2984,120,20,687
2133,120,10,705
4330,120,10,588
1546,210,18,712
4104,60,18,463
4595,40,6,557
5435,60,10,378
3573,40,6,831
4484,120,8,833
5861,160,6,1103
885,120,6,1049
1119,210,14,905
3036,160,20,849
3476,210,10,962
418,75,8,934
3358,60,20,444
533,75,20,705
765,120,10,888
3788,75,18,607
1162,40,6,738
3910,60,8,600
1615,160,20,745
4743,120,14,618
648,40,14,623
3371,60,14,353
4882,120,6,1032
3605,75,6,872
2214,60,10,391
535,75,20,819
966,60,10,653
1208,60,18,480
410,40,20,626
2639,160,20,784
1215,60,18,457
2957,40,14,624
3015,75,10,849
3435,75,8,559
5432,60,10,539
2990,120,20,673
23,160,10,1114
4642,120,18,768
4643,120,18,688
808,160,14,990
5439,60,10,574
4835,75,6,666
659,210,14,1041
2567,210,8,1167
2199,160,6,784
5639,60,20,368
1990,160,8,1401
1202,60,6,599
4182,60,10,504
5958,160,20,607
344,120,20,720
5489,75,8,550
40,210,20,760
6156,60,20,472
510,40,18,511
5834,75,14,553
24,160,10,880
4516,210,6,1167
5697,40,20,266
4520,210,6,977
5161,60,18,384
5273,120,8,623
6009,120,18,815
5094,160,10,711
5650,75,18,321
4204,120,18,472
2409,160,10,821
5066,60,14,426
5399,120,18,633
3676,75,14,780
5178,75,10,471
2616,40,20,422
4541,120,18,600
957,60,8,649
4117,120,14,614
3389,120,20,806
2997,120,6,1058
3575,40,6,992
970,60,6,521
5658,75,18,360
5234,75,20,423
789,60,14,595
1509,160,8,896
5262,60,20,353
175,40,6,672
4405,40,8,664
1418,210,18,761
610,160,18,934
2560,160,18,771
2449,75,18,659
5881,75,10,662
4952,160,14,727
4934,60,20,440
5775,60,8,426
5827,210,8,1062
2569,210,8,1166
4337,120,10,802
5051,120,10,814
4672,75,18,582
635,210,6,1456
1300,120,18,645
5296,210,20,629
3408,160,18,544
5837,75,14,777
1088,120,14,670
2358,75,8,952
3908,60,8,655
3189,210,20,952
4893,40,14,394
5415,160,10,790
1578,75,18,445
298,60,10,528
2116,210,10,871
898,40,14,584
4411,120,20,675
4619,40,10,396
4262,75,18,642
152,60,6,743
1635,40,6,503
5776,60,8,497
2287,40,6,520
3604,75,6,943
3373,60,14,491
5111,210,6,931
3881,210,6,968
3533,210,8,1196
2079,120,14,630
1423,210,18,742
3701,120,20,714
1030,160,20,611
2445,75,18,609
2196,160,6,993
4848,160,8,928
6026,60,6,809
1087,120,14,656
3790,75,18,550
470,120,10,658
1553,120,10,595
4184,60,10,440
3234,40,6,1254
1663,75,14,567
1856,60,8,454
2479,40,10,499
6102,40,10,495
3343,210,18,1047
5336,120,20,489
2866,120,14,866
154,60,6,800
5758,75,14,434
899,40,14,582
2832,120,18,832
2666,210,6,1521
5518,120,20,434
5378,40,20,323
2921,160,18,768
2030,160,14,1096
2865,120,14,785
1231,75,6,613
6072,75,18,464
5538,40,10,449
5813,40,14,532
788,60,14,725
1559,120,10,1145
3009,210,6,1043
1869,120,6,624
3122,120,10,715
5759,75,14,456
671,160,20,721
604,160,18,838
4457,160,6,736
686,120,18,997
4136,40,14,382
1212,60,18,568
4734,120,10,786
1206,60,18,490
3809,160,10,824
14,75,14,754
2244,75,18,473
3529,210,8,1608
3984,210,14,761
3826,120,10,712
2138,120,10,671
1333,40,10,678
3256,210,6,920
5135,160,18,496
2076,120,14,930
6121,160,14,920
3499,60,10,1006
4051,210,8,1016
2709,60,6,775
2203,60,10,432
2864,120,14,659
2407,160,10,808
3943,75,6,658
2090,120,20,569
2059,60,6,943
1279,75,10,751
5579,210,10,704
959,60,10,742
5383,40,20,344
5729,120,6,702
3776,75,20,615
5244,160,8,816
1050,40,10,514
3831,120,14,650
5243,160,8,730
6057,210,6,1721
5696,40,20,246
2249,75,18,558
829,120,20,883
1188,60,20,456
5438,60,10,493
3669,75,14,550
2558,160,18,752
3152,40,18,335
1796,120,14,547
5846,40,6,714
1163,40,6,582
946,75,10,665
4273,40,18,815
4865,160,18,642
2216,60,10,422
1426,210,10,1073
2491,60,10,701
5898,120,20,648
3989,40,8,498
6096,60,14,554
1115,210,14,958
5500,75,20,380
642,210,6,862
3368,60,14,584
1205,60,18,545
1335,40,10,440
5875,75,10,531
220,160,14,790
4823,75,20,504
132,120,18,599
4610,60,6,808
4691,60,8,642
6021,60,6,816
965,60,10,993
5148,210,8,776
1883,160,14,598
2061,60,6,493
932,75,20,562
290,40,10,496
3292,160,8,840
5796,210,8,744
5612,160,6,823
5351,75,6,784
2626,75,8,727
456,60,14,760
3489,60,8,730
5785,60,8,528
1802,210,6,806
3404,160,18,657
1316,60,8,545
1662,75,14,576
2072,120,14,898
649,40,14,568
5742,40,8,455
3323,210,14,872
3410,160,18,817
5213,40,6,453
1345,160,18,702
996,60,18,415
5013,120,6,686
2040,160,18,695
1073,160,18,717
5358,210,18,801
5883,160,18,1118
4977,210,20,552
3351,210,18,880
3807,40,14,485
3638,120,18,685
3742,160,20,768
4662,160,6,825
4708,120,8,777
4706,120,8,694
3380,160,20,651
408,40,20,632
4634,60,10,911
3648,75,8,895
4316,60,14,603
3918,160,18,650
4108,40,20,391
2459,60,14,466
651,40,14,842
5069,60,14,578
919,40,6,719
1244,160,20,754
5282,75,14,418
805,160,14,979
5205,160,14,687
2033,160,14,767
1520,120,10,971
922,40,6,672
4110,40,20,353
5357,210,18,680
4594,40,6,471
3933,75,6,536
3713,160,6,961
5189,40,8,497
534,75,20,789
5278,120,8,723
2904,60,10,852
1524,120,10,578
3433,75,8,543
923,40,6,1009
2890,160,8,682
3945,160,10,785
358,210,10,1063
3845,160,18,724
288,40,10,544
336,120,20,625
4045,210,8,793
2115,210,10,785
6122,160,14,760
2388,160,8,968
2787,210,14,1056
3743,160,20,649
1884,160,14,579
2526,160,6,944
998,60,18,513
3777,75,20,512
564,120,8,1015
2294,40,6,1143
4693,60,8,627
1270,75,10,539
3611,40,10,530
4522,210,6,1209
777,120,18,930
4412,120,20,626
5674,210,6,880
4179,120,6,599
5295,210,20,627
3261,210,6,1279
3445,40,14,469
3995,40,8,505
967,60,10,634
5222,40,6,566
5388,40,18,358
4774,60,14,610
615,210,18,966
2254,75,18,400
590,120,6,1046
4737,120,10,720
2511,40,14,473
3070,210,20,707
1282,40,8,560
6047,75,8,1050
5145,210,8,750
1724,40,8,471
2029,160,14,816
755,40,8,834
5654,75,18,409
1844,160,6,633
1713,40,14,400
2601,75,6,693
558,160,6,1142
1925,210,20,745
351,120,10,768
5606,160,6,865
2415,120,20,626
1085,210,20,801
3422,160,10,1129
5659,75,18,370
3856,210,14,937
4303,60,18,607
520,210,20,862
5930,60,8,601
5692,120,10,476
3,210,8,1128
1305,210,20,796
1137,40,20,464
3031,40,20,466
2186,40,18,366
4567,160,18,776
4311,60,14,497
595,160,10,797
2181,40,18,426
3680,40,20,595
4998,40,6,570
1154,40,6,624
6080,60,10,489
1891,210,10,782
3886,210,6,1081
5023,75,8,815
2931,40,18,400
5546,120,8,678
1854,60,8,456
3209,60,18,458
3313,210,14,807
4060,75,10,704
1885,210,10,738
2345,60,14,600
4849,160,8,774
4603,75,14,520
4401,40,8,511
2184,40,18,438
3735,60,14,594
6153,60,20,471
4479,40,14,371
5461,210,14,617
4084,210,20,614
4817,210,14,769
3671,75,14,528
113,160,20,882
1775,160,8,695
3311,210,14,977
1860,60,8,481
1539,60,20,479
432,40,6,923
4129,75,20,374
1809,210,6,800
1907,75,20,315
3847,160,18,678
5708,210,18,497
5795,210,8,1013
3447,40,14,493
1508,160,8,997
203,75,10,544
362,210,10,784
2389,160,8,1058
5380,40,20,360
4542,120,18,614
1669,210,20,609
611,160,18,753
4032,60,6,545
2765,75,8,679
4250,60,8,568
4149,120,8,633
5593,160,14,623
748,160,14,942
3206,60,18,872
420,75,8,856
3128,120,10,830
4135,75,20,545
4673,75,18,543
2349,75,8,552
2699,60,6,912
856,160,10,912
4050,210,8,847
5992,160,8,800
2822,40,8,562
5455,210,14,666
2256,210,8,992
2455,60,14,517
1465,120,14,724
1262,210,14,839
3793,75,18,529
2749,160,6,927
1716,40,8,514
5007,120,6,800
1666,210,20,697
4538,120,18,656
5677,160,20,501
5979,40,18,432
1220,120,8,669
5044,120,10,863
1318,60,8,584
5820,210,8,1033
991,60,18,537
1837,160,6,677
2209,60,10,535
1660,75,14,624
5308,210,14,904
5478,60,6,671
1468,120,6,747
1374,210,6,855
1962,75,14,632
1738,75,6,561
5694,120,10,480
5757,75,14,404
1786,60,6,638
